PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
027-152,Audyn True Copper Cap 0.33uF 630V Copper Foil C,0.33,2.0,600.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-True-Copper-Cap-0.33uF-630V-Copper-Foil-Capacitor-027-152,
027-129,Audyn Cap Plus 0.33uF 1.2KV Double Layer MKP Foil C,0.33,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-0.33uF-1.2KV-Double-Layer-MKP-Foil-Capacitor-027-129,10.17
027-466,Jantzen 0514 0.33uF 1200V Z-Superior Capacitor,0.33,2.0,1200.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0514-0.33uF-1200V-Z-Superior-Capacitor-027-466,17.9
027-404,Dayton Audio DMPC-0.33 0.33uF 250V Polypropylene C,0.33,5.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-0.33-0.33uF-250V-Polypropylene-Capacitor-027-404,0.59
027-456,Dayton Audio DFFC-0.33 0.33uF 400V By-Pass Capacitor,0.33,5.0,400.0,Film and Foil,https://www.parts-express.com/Dayton-Audio-DFFC-0.33-0.33uF-400V-By-Pass-Capacitor-027-456,1.89
027-103,Audyn Cap Q4 0.33uF 400V MKP Foil Capacitor,0.33,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-0.33uF-400V-MKP-Foil-Capacitor-027-103,2.63
027-904,Jantzen 0214 0.33uF 400V Crosscap Capacitor,0.33,5.0,400.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0214-0.33uF-400V-Crosscap-Capacitor-027-904,17.9
027-206,Dayton Audio PMPC-0.47 0.47uF 250V Precision Audio C,0.47,1.0,250.0,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-0.47-0.47uF-250V-Precision-Audio-Capacitor-027-206,0.59
027-153,Audyn True Copper Cap 0.47uF 630V Copper Foil C,0.47,2.0,600.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-True-Copper-Cap-0.47uF-630V-Copper-Foil-Capacitor-027-153,
027-130,Audyn Cap Plus 0.47uF 800V Double Layer MKP Foil C,0.47,2.0,800.0,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-0.47uF-800V-Double-Layer-MKP-Foil-Capacitor-027-130,10.8
027-758,Jantzen 0618 0.47uF 800V Z-Silver Capacitor,0.47,2.0,800.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0618-0.47uF-800V-Z-Silver-Capacitor-027-758,22.67
027-468,Jantzen 0518 0.47uF 800V Z-Superior Capacitor,0.47,2.0,800.0,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0518-0.47uF-800V-Z-Superior-Capacitor-027-468,14.63
